FID,ct,StateFIPS,CountyFIPS,TractCode,County,ServiceID
0,55025000901,55,025,000901,Dane County,2
1,55025000902,55,025,000902,Dane County,2
2,55025001000,55,025,001000,Dane County,2
3,55025001101,55,025,001101,Dane County,2
4,55025001102,55,025,001102,Dane County,2
5,55025001200,55,025,001200,Dane County,2
6,55025001300,55,025,001300,Dane County,2
7,55025001401,55,025,001401,Dane County,2
8,55025001402,55,025,001402,Dane County,2
9,55025001403,55,025,001403,Dane County,2
10,55025001501,55,025,001501,Dane County,2
11,55025001502,55,025,001502,Dane County,2
12,55025001603,55,025,001603,Dane County,2
13,55025001604,55,025,001604,Dane County,2
14,55025001605,55,025,001605,Dane County,2
15,55025001606,55,025,001606,Dane County,2
16,55025001704,55,025,001704,Dane County,2
17,55025001705,55,025,001705,Dane County,2
18,55025001802,55,025,001802,Dane County,2
19,55025001804,55,025,001804,Dane County,2
20,55025001900,55,025,001900,Dane County,2
21,55025002000,55,025,002000,Dane County,2
22,55025002100,55,025,002100,Dane County,2
23,55025002200,55,025,002200,Dane County,2
24,55025002301,55,025,002301,Dane County,2
25,55025002500,55,025,002500,Dane County,2
26,55025002700,55,025,002700,Dane County,2
27,55025010200,55,025,010200,Dane County,2
28,55025991702,55,025,991702,Dane County,2
29,55025991703,55,025,991703,Dane County,2
30,55025001501,55,025,001501,Dane County,7
31,55025001502,55,025,001502,Dane County,7
32,55025001900,55,025,001900,Dane County,7
33,55025002000,55,025,002000,Dane County,7
34,55025002100,55,025,002100,Dane County,7
35,55025002700,55,025,002700,Dane County,7
36,55025002800,55,025,002800,Dane County,7
37,55025002900,55,025,002900,Dane County,7
38,55025003001,55,025,003001,Dane County,7
39,55025003002,55,025,003002,Dane County,7
40,55025003100,55,025,003100,Dane County,7
41,55025010300,55,025,010300,Dane County,7
42,55025010400,55,025,010400,Dane County,7
43,55025010501,55,025,010501,Dane County,7
44,55025010502,55,025,010502,Dane County,7
45,55025010600,55,025,010600,Dane County,7
46,55025011401,55,025,011401,Dane County,7
47,55025012002,55,025,012002,Dane County,7
48,55025991703,55,025,991703,Dane County,7
49,55025000100,55,025,000100,Dane County,8
50,55025000201,55,025,000201,Dane County,8
51,55025000202,55,025,000202,Dane County,8
52,55025000204,55,025,000204,Dane County,8
53,55025000205,55,025,000205,Dane County,8
54,55025000300,55,025,000300,Dane County,8
55,55025000401,55,025,000401,Dane County,8
56,55025000402,55,025,000402,Dane County,8
57,55025000407,55,025,000407,Dane County,8
58,55025000408,55,025,000408,Dane County,8
59,55025000501,55,025,000501,Dane County,8
60,55025000600,55,025,000600,Dane County,8
61,55025000700,55,025,000700,Dane County,8
62,55025000800,55,025,000800,Dane County,8
63,55025000901,55,025,000901,Dane County,8
64,55025000902,55,025,000902,Dane County,8
65,55025001000,55,025,001000,Dane County,8
66,55025001101,55,025,001101,Dane County,8
67,55025001102,55,025,001102,Dane County,8
68,55025001200,55,025,001200,Dane County,8
69,55025001300,55,025,001300,Dane County,8
70,55025001401,55,025,001401,Dane County,8
71,55025001402,55,025,001402,Dane County,8
72,55025003200,55,025,003200,Dane County,8
73,55025010100,55,025,010100,Dane County,8
74,55025010904,55,025,010904,Dane County,8
75,55025011000,55,025,011000,Dane County,8
76,55025011101,55,025,011101,Dane County,8
77,55025011102,55,025,011102,Dane County,8
78,55025011200,55,025,011200,Dane County,8
79,55025991702,55,025,991702,Dane County,8
80,55025000202,55,025,000202,Dane County,11
81,55025000204,55,025,000204,Dane County,11
82,55025000205,55,025,000205,Dane County,11
83,55025000405,55,025,000405,Dane County,11
84,55025000406,55,025,000406,Dane County,11
85,55025000407,55,025,000407,Dane County,11
86,55025000408,55,025,000408,Dane County,11
87,55025000501,55,025,000501,Dane County,11
88,55025000503,55,025,000503,Dane County,11
89,55025000504,55,025,000504,Dane County,11
90,55025000600,55,025,000600,Dane County,11
91,55025001401,55,025,001401,Dane County,11
92,55025001402,55,025,001402,Dane County,11
93,55025001403,55,025,001403,Dane County,11
94,55025001502,55,025,001502,Dane County,11
95,55025010600,55,025,010600,Dane County,11
96,55025010701,55,025,010701,Dane County,11
97,55025010702,55,025,010702,Dane County,11
98,55025010800,55,025,010800,Dane County,11
99,55025010901,55,025,010901,Dane County,11
100,55025010903,55,025,010903,Dane County,11
101,55025010904,55,025,010904,Dane County,11
102,55025011000,55,025,011000,Dane County,11
103,55025013700,55,025,013700,Dane County,11
104,55025001502,55,025,001502,Dane County,18
105,55025002000,55,025,002000,Dane County,18
106,55025002100,55,025,002100,Dane County,18
107,55025002200,55,025,002200,Dane County,18
108,55025002301,55,025,002301,Dane County,18
109,55025002302,55,025,002302,Dane County,18
110,55025002401,55,025,002401,Dane County,18
111,55025002402,55,025,002402,Dane County,18
112,55025002500,55,025,002500,Dane County,18
113,55025002601,55,025,002601,Dane County,18
114,55025002602,55,025,002602,Dane County,18
115,55025002603,55,025,002603,Dane County,18
116,55025002700,55,025,002700,Dane County,18
117,55025002800,55,025,002800,Dane County,18
118,55025002900,55,025,002900,Dane County,18
119,55025003001,55,025,003001,Dane County,18
120,55025003002,55,025,003002,Dane County,18
121,55025003100,55,025,003100,Dane County,18
122,55025010200,55,025,010200,Dane County,18
123,55025010501,55,025,010501,Dane County,18
124,55025011102,55,025,011102,Dane County,18
125,55025011200,55,025,011200,Dane County,18
126,55025011301,55,025,011301,Dane County,18
127,55025011302,55,025,011302,Dane County,18
128,55025011401,55,025,011401,Dane County,18
129,55025011402,55,025,011402,Dane County,18
130,55025011700,55,025,011700,Dane County,18
131,55025012001,55,025,012001,Dane County,18
132,55025012002,55,025,012002,Dane County,18
133,55025013200,55,025,013200,Dane County,18
134,55025013301,55,025,013301,Dane County,18
135,55025013302,55,025,013302,Dane County,18
136,55025991702,55,025,991702,Dane County,18