Date,Cases,Tests,Population,ServiceID
2020-04-11,143,4382,386168,MMSD
2020-04-12,145,4494,386168,MMSD
2020-04-13,152,4587,386168,MMSD
2020-04-14,157,4669,386168,MMSD
2020-04-15,158,4762,386168,MMSD
2020-04-16,158,4907,386168,MMSD
2020-04-17,159,5031,386168,MMSD
2020-04-18,161,5173,386168,MMSD
2020-04-19,161,5326,386168,MMSD
2020-04-20,167,5458,386168,MMSD
2020-04-21,189,5557,386168,MMSD
2020-04-22,193,5730,386168,MMSD
2020-04-23,198,6009,386168,MMSD
2020-04-24,201,6293,386168,MMSD
2020-04-25,205,6521,386168,MMSD
2020-04-26,210,6810,386168,MMSD
2020-04-27,212,7048,386168,MMSD
2020-04-28,222,7533,386168,MMSD
2020-04-29,226,8131,386168,MMSD
2020-04-30,231,8330,386168,MMSD
2020-05-01,232,8629,386168,MMSD
2020-05-02,233,8795,386168,MMSD
2020-05-03,235,9007,386168,MMSD
2020-05-04,242,9238,386168,MMSD
2020-05-05,243,9503,386168,MMSD
2020-05-06,250,9759,386168,MMSD
2020-05-07,251,10122,386168,MMSD
2020-05-08,252,10354,386168,MMSD
2020-05-09,255,10609,386168,MMSD
2020-05-10,262,10846,386168,MMSD
2020-05-11,274,11074,386168,MMSD
2020-05-12,276,11376,386168,MMSD
2020-05-13,279,11646,386168,MMSD
2020-05-14,286,11987,386168,MMSD
2020-05-15,294,12865,386168,MMSD
2020-05-16,308,13264,386168,MMSD
2020-05-17,320,13697,386168,MMSD
2020-05-18,321,13906,386168,MMSD
2020-05-19,323,14189,386168,MMSD
2020-05-20,342,14695,386168,MMSD
2020-05-21,351,15761,386168,MMSD
2020-05-22,361,16740,386168,MMSD
2020-05-23,372,17855,386168,MMSD
2020-05-24,372,18134,386168,MMSD
2020-05-25,377,18683,386168,MMSD
2020-05-26,392,19616,386168,MMSD
2020-05-27,418,20303,386168,MMSD
2020-05-28,433,21055,386168,MMSD
2020-05-29,456,21983,386168,MMSD
2020-05-30,468,22510,386168,MMSD
2020-05-31,479,23077,386168,MMSD
2020-06-01,480,23228,386168,MMSD
2020-06-02,493,23731,386168,MMSD
2020-06-03,507,24571,386168,MMSD
2020-06-04,516,25795,386168,MMSD
2020-06-05,524,26772,386168,MMSD
2020-06-06,536,27447,386168,MMSD
2020-06-07,559,27824,386168,MMSD
2020-06-08,569,28503,386168,MMSD
2020-06-09,578,29646,386168,MMSD
2020-06-10,589,30739,386168,MMSD
2020-06-11,604,31123,386168,MMSD
2020-06-12,629,32403,386168,MMSD
2020-06-13,639,33259,386168,MMSD
2020-06-14,654,33689,386168,MMSD
2020-06-15,665,33971,386168,MMSD
2020-06-16,675,35502,386168,MMSD
2020-06-17,692,36235,386168,MMSD
2020-06-18,705,37079,386168,MMSD
2020-06-19,720,38019,386168,MMSD
2020-06-20,740,38648,386168,MMSD
2020-06-21,767,38831,386168,MMSD
2020-06-22,790,39313,386168,MMSD
2020-06-23,833,40653,386168,MMSD
2020-06-24,906,41552,386168,MMSD
2020-06-25,975,42796,386168,MMSD
2020-06-26,1083,43825,386168,MMSD
2020-06-27,1161,44453,386168,MMSD
2020-06-28,1240,44534,386168,MMSD
2020-06-29,1314,44692,386168,MMSD
2020-06-30,1446,45800,386168,MMSD
2020-07-01,1530,46736,386168,MMSD
2020-07-02,1617,49456,386168,MMSD
2020-07-03,1718,51064,386168,MMSD
2020-07-04,1835,51748,386168,MMSD
2020-07-05,1900,51821,386168,MMSD
2020-07-06,1974,52256,386168,MMSD
2020-07-07,2022,54110,386168,MMSD
2020-07-08,2078,55684,386168,MMSD
2020-07-09,2136,58042,386168,MMSD
2020-07-10,2232,59947,386168,MMSD
2020-07-11,2331,60795,386168,MMSD
2020-07-12,2405,61232,386168,MMSD
2020-07-13,2443,61524,386168,MMSD
2020-07-14,2521,63408,386168,MMSD
2020-07-15,2594,64798,386168,MMSD
2020-07-16,2638,66509,386168,MMSD
2020-07-17,2692,68174,386168,MMSD
2020-07-18,2742,68718,386168,MMSD
2020-07-19,2778,69284,386168,MMSD
2020-07-20,2819,69625,386168,MMSD
2020-07-21,2847,70850,386168,MMSD
2020-07-22,2892,72501,386168,MMSD
2020-07-23,2919,73865,386168,MMSD
2020-07-24,2965,76046,386168,MMSD
2020-07-25,3010,77528,386168,MMSD
2020-07-26,3041,78252,386168,MMSD
2020-07-27,3076,78678,386168,MMSD
2020-07-28,3109,80625,386168,MMSD
2020-07-29,3148,82443,386168,MMSD
2020-07-30,3180,84592,386168,MMSD
2020-07-31,3232,85859,386168,MMSD
2020-08-01,3251,87202,386168,MMSD
2020-08-02,3312,88253,386168,MMSD
2020-08-03,3331,88866,386168,MMSD
2020-08-04,3355,90862,386168,MMSD
2020-08-05,3419,93097,386168,MMSD
2020-08-06,3455,94718,386168,MMSD
2020-08-07,3508,95880,386168,MMSD
2020-08-08,3545,96700,386168,MMSD
2020-08-09,3578,97547,386168,MMSD
2020-08-10,3588,98885,386168,MMSD
2020-08-11,3610,100170,386168,MMSD
2020-08-12,3650,101287,386168,MMSD
2020-08-13,3675,102583,386168,MMSD
2020-08-14,3731,103074,386168,MMSD
2020-08-15,3760,103910,386168,MMSD
2020-08-16,3802,104135,386168,MMSD
2020-08-17,3816,104776,386168,MMSD
2020-08-18,3828,105941,386168,MMSD
2020-08-19,3849,107282,386168,MMSD
2020-08-20,3872,108148,386168,MMSD
2020-08-21,3901,108883,386168,MMSD
2020-08-22,3941,109361,386168,MMSD
2020-08-23,3966,109977,386168,MMSD
2020-08-24,3985,110516,386168,MMSD
2020-08-25,4020,111610,386168,MMSD
2020-08-26,4057,112510,386168,MMSD
2020-08-27,4125,113842,386168,MMSD
2020-08-28,4161,114548,386168,MMSD
2020-08-29,4204,115592,386168,MMSD
2020-08-30,4238,116183,386168,MMSD
2020-08-31,4246,116907,386168,MMSD
2020-09-01,4325,117694,386168,MMSD
2020-09-02,4370,118574,386168,MMSD
2020-09-03,4437,119282,386168,MMSD
2020-09-04,4577,119866,386168,MMSD
2020-09-05,4728,120492,386168,MMSD
2020-09-06,4862,121368,386168,MMSD
2020-09-07,4939,122167,386168,MMSD
2020-09-08,5124,122451,386168,MMSD
2020-09-09,5207,123190,386168,MMSD
2020-09-10,5598,124222,386168,MMSD
2020-09-11,5853,124710,386168,MMSD
2020-09-12,6009,125295,386168,MMSD
2020-09-13,6186,126121,386168,MMSD
2020-09-14,6368,126531,386168,MMSD
2020-09-15,6448,127499,386168,MMSD
2020-09-16,6541,128376,386168,MMSD
2020-09-17,6758,131177,386168,MMSD
2020-09-18,6935,133192,386168,MMSD
2020-09-19,7078,135290,386168,MMSD
2020-09-20,7219,136522,386168,MMSD
2020-09-21,7282,137479,386168,MMSD
2020-09-22,7330,139849,386168,MMSD
2020-09-23,7401,140889,386168,MMSD
2020-09-24,7529,141858,386168,MMSD
2020-09-25,7625,143100,386168,MMSD
2020-09-26,7734,143737,386168,MMSD
2020-09-27,7820,144273,386168,MMSD
2020-09-28,7934,144867,386168,MMSD
2020-09-29,8013,145649,386168,MMSD
2020-09-30,8087,146511,386168,MMSD
2020-10-01,8209,147663,386168,MMSD
2020-10-02,8270,148478,386168,MMSD
2020-10-03,8351,149104,386168,MMSD
2020-10-04,8429,149240,386168,MMSD
2020-10-05,8481,149624,386168,MMSD
2020-10-06,8591,150805,386168,MMSD
2020-10-07,8647,151863,386168,MMSD
2020-10-08,8734,153152,386168,MMSD
2020-10-09,8873,154404,386168,MMSD
2020-10-10,9002,155179,386168,MMSD
2020-10-11,9131,155363,386168,MMSD
2020-10-12,9234,155906,386168,MMSD
2020-10-13,9314,156692,386168,MMSD
2020-10-14,9418,157535,386168,MMSD
2020-10-15,9557,158557,386168,MMSD
2020-10-16,9706,159886,386168,MMSD
2020-10-17,9706,159886,386168,MMSD
2020-10-18,9853,166886,386168,MMSD
2020-10-19,9855,170093,386168,MMSD
2020-10-20,10088,170854,386168,MMSD
2020-10-21,10314,171411,386168,MMSD
2020-10-22,10458,172551,386168,MMSD
2020-10-23,10646,173678,386168,MMSD
2020-10-24,10834,174929,386168,MMSD
2020-10-25,11049,176017,386168,MMSD
2020-10-26,11176,177080,386168,MMSD
2020-10-27,11388,178219,386168,MMSD
2020-10-28,11679,178914,386168,MMSD
2020-10-29,11810,179545,386168,MMSD
2020-10-30,12118,180785,386168,MMSD
2020-10-31,12375,182219,386168,MMSD
2020-11-01,12514,183570,386168,MMSD
2020-11-02,12661,184278,386168,MMSD
2020-11-03,13107,185853,386168,MMSD
2020-11-04,13260,186809,386168,MMSD
2020-11-05,13507,187692,386168,MMSD
2020-11-06,13886,188868,386168,MMSD
2020-11-07,14234,190245,386168,MMSD
2020-11-08,14420,191030,386168,MMSD
2020-11-09,14642,191953,386168,MMSD
2020-11-10,15178,193598,386168,MMSD
2020-11-11,15510,194828,386168,MMSD
2020-11-12,16000,196021,386168,MMSD
2020-11-13,16324,196975,386168,MMSD
2020-11-14,16562,198813,386168,MMSD
2020-11-15,16877,200170,386168,MMSD
2020-11-16,17250,200875,386168,MMSD
2020-11-17,17763,202610,386168,MMSD
2020-11-18,18200,204269,386168,MMSD
2020-11-19,18478,205262,386168,MMSD
2020-11-20,18852,207051,386168,MMSD
2020-11-21,19109,208154,386168,MMSD
2020-11-22,19265,209421,386168,MMSD
2020-11-23,19375,210559,386168,MMSD
2020-11-24,19968,212250,386168,MMSD
2020-11-25,20149,213150,386168,MMSD
2020-11-26,20425,214265,386168,MMSD
2020-11-27,20463,214992,386168,MMSD
2020-11-28,20776,215556,386168,MMSD
2020-11-29,21052,216462,386168,MMSD
2020-11-30,21251,217222,386168,MMSD
2020-12-01,21359,217493,386168,MMSD
2020-12-02,21551,217938,386168,MMSD
2020-12-03,21846,218903,386168,MMSD
2020-12-04,22098,219849,386168,MMSD
2020-12-05,22284,220572,386168,MMSD
2020-12-06,22385,221379,386168,MMSD
2020-12-07,22575,222099,386168,MMSD
2020-12-08,22684,222458,386168,MMSD
2020-12-09,22818,223022,386168,MMSD
2020-12-10,23015,223938,386168,MMSD
2020-12-11,23165,224674,386168,MMSD
2020-12-12,23338,225442,386168,MMSD
2020-12-13,23501,226431,386168,MMSD
2020-12-14,23629,226916,386168,MMSD
2020-12-15,23669,227126,386168,MMSD
2020-12-16,23757,227679,386168,MMSD
2020-12-17,23943,228626,386168,MMSD
2020-12-18,24091,229287,386168,MMSD
2020-12-19,24244,230249,386168,MMSD
2020-12-20,24326,230866,386168,MMSD
2020-12-21,24421,231599,386168,MMSD
2020-12-22,24485,231952,386168,MMSD
2020-12-23,24598,232444,386168,MMSD
2020-12-24,24757,233394,386168,MMSD
2020-12-25,24879,234248,386168,MMSD
2020-12-26,24879,234655,386168,MMSD
2020-12-27,25008,235023,386168,MMSD
2020-12-28,25113,235570,386168,MMSD
2020-12-29,25171,235821,386168,MMSD
2020-12-30,25269,236068,386168,MMSD
2020-12-31,25458,236816,386168,MMSD
2021-01-01,25633,237515,386168,MMSD
2021-01-02,25633,237859,386168,MMSD
2021-01-03,25849,238232,386168,MMSD
2021-01-04,26006,238764,386168,MMSD
2021-01-05,26118,239140,386168,MMSD
2021-01-06,26276,239559,386168,MMSD
2021-01-07,26556,240359,386168,MMSD
2021-01-08,26785,241092,386168,MMSD
2021-01-09,26920,241753,386168,MMSD
2021-01-10,27065,242365,386168,MMSD
2021-01-11,27160,242831,386168,MMSD
2021-01-12,27240,243061,386168,MMSD
2021-01-13,27346,243397,386168,MMSD
2021-01-14,27533,244171,386168,MMSD
2021-01-15,27650,245019,386168,MMSD
2021-01-16,27775,245976,386168,MMSD
2021-01-17,27870,246471,386168,MMSD
2021-01-18,27931,246902,386168,MMSD
2021-01-19,27967,247449,386168,MMSD
2021-01-20,28012,247917,386168,MMSD
2021-01-21,28144,248894,386168,MMSD
2021-01-22,28287,250212,386168,MMSD
2021-01-23,28394,251739,386168,MMSD
2021-01-24,28493,252641,386168,MMSD
2021-01-25,28567,253034,386168,MMSD
2021-01-26,28630,253785,386168,MMSD
2021-01-27,28701,254526,386168,MMSD
2021-01-28,28905,255446,386168,MMSD
2021-01-29,29016,256258,386168,MMSD
2021-01-30,29134,256863,386168,MMSD
2021-01-31,29213,257345,386168,MMSD
2021-02-01,29266,257617,386168,MMSD
2021-02-02,29312,257764,386168,MMSD
2021-02-03,29377,258010,386168,MMSD
2021-02-04,29546,258683,386168,MMSD
2021-02-05,29647,259076,386168,MMSD
2021-02-06,29718,259420,386168,MMSD
2021-02-07,29783,259828,386168,MMSD
2021-02-08,29872,260249,386168,MMSD
2021-02-09,29908,260522,386168,MMSD
2021-02-10,29984,260949,386168,MMSD
2021-02-11,30087,261499,386168,MMSD
2021-02-12,30160,261856,386168,MMSD
2021-02-13,30229,262021,386168,MMSD
2021-02-14,30274,262265,386168,MMSD
2021-02-15,30313,262456,386168,MMSD
2021-02-16,30346,262536,386168,MMSD
2021-02-17,30422,262800,386168,MMSD
2021-02-18,30556,263219,386168,MMSD
2021-02-19,30694,263745,386168,MMSD
2021-02-20,30787,264216,386168,MMSD
2021-02-21,30860,264670,386168,MMSD
2021-02-22,30903,264956,386168,MMSD
2021-02-23,30942,265264,386168,MMSD
2021-02-24,31019,265481,386168,MMSD
2021-02-25,31073,265765,386168,MMSD
2021-02-26,31159,266014,386168,MMSD
2021-02-27,31301,266491,386168,MMSD
2021-02-28,31376,266775,386168,MMSD
2021-03-01,31420,267000,386168,MMSD
2021-03-02,31451,267096,386168,MMSD
2021-03-03,31510,267356,386168,MMSD
2021-03-04,31613,267854,386168,MMSD
2021-03-05,31653,268127,386168,MMSD
2021-03-06,31717,268483,386168,MMSD
2021-03-07,31757,268864,386168,MMSD
2021-03-08,31780,269074,386168,MMSD
2021-03-09,31797,269271,386168,MMSD
2021-03-10,31837,269623,386168,MMSD
2021-03-11,31901,269979,386168,MMSD
2021-03-12,31957,270308,386168,MMSD
2021-03-13,32000,270603,386168,MMSD
2021-03-14,32039,270875,386168,MMSD
2021-03-15,32058,271065,386168,MMSD
2021-03-16,32090,271268,386168,MMSD
2021-03-17,32123,271445,386168,MMSD
2021-03-18,32179,271812,386168,MMSD
2021-03-19,32216,272061,386168,MMSD
2021-03-20,32229,272163,386168,MMSD
2021-03-21,32265,272608,386168,MMSD
2021-03-22,32283,272840,386168,MMSD
2021-03-23,32303,272898,386168,MMSD
2021-03-24,32354,273240,386168,MMSD
2021-03-25,32406,273530,386168,MMSD
2021-03-26,32448,273710,386168,MMSD
2021-03-27,32491,273868,386168,MMSD
2021-03-28,32522,274163,386168,MMSD
2021-03-29,32554,274421,386168,MMSD
2021-03-30,32577,274521,386168,MMSD
2021-03-31,32603,274846,386168,MMSD
2021-04-01,32659,275233,386168,MMSD
2021-04-02,32722,275554,386168,MMSD
2021-04-03,32785,275956,386168,MMSD
2021-04-04,32848,276344,386168,MMSD
2021-04-05,32903,276675,386168,MMSD
2021-04-06,32939,276908,386168,MMSD
2021-04-07,32984,277283,386168,MMSD
2021-04-08,33087,277832,386168,MMSD
2021-04-09,33168,278213,386168,MMSD
2021-04-10,33238,278624,386168,MMSD
2021-04-11,33314,279042,386168,MMSD
2021-04-12,33353,279357,386168,MMSD
2021-04-13,33391,279601,386168,MMSD
2021-04-14,33468,280006,386168,MMSD
2021-04-15,33545,280479,386168,MMSD
2021-04-16,33609,280855,386168,MMSD
2021-04-17,33651,281246,386168,MMSD
2021-04-18,33701,281640,386168,MMSD
2021-04-19,33736,281922,386168,MMSD
2021-04-20,33775,282149,386168,MMSD
2021-04-21,33828,282535,386168,MMSD
2021-04-22,33901,283013,386168,MMSD
2021-04-23,33952,283402,386168,MMSD
2021-04-24,33999,283833,386168,MMSD
2021-04-25,34040,284193,386168,MMSD
2021-04-26,34060,284448,386168,MMSD
2021-04-27,34094,284678,386168,MMSD
2021-04-28,34131,285007,386168,MMSD
2021-04-29,34196,285525,386168,MMSD
2021-04-30,34248,286067,386168,MMSD
2021-05-01,34283,286463,386168,MMSD
2021-05-02,34317,286850,386168,MMSD
2021-05-03,34341,287097,386168,MMSD
2021-05-04,34359,287319,386168,MMSD
2021-05-05,34395,287652,386168,MMSD
2021-05-06,34450,288176,386168,MMSD
2021-05-07,34486,288543,386168,MMSD
2021-05-08,34503,288967,386168,MMSD
2021-05-09,34527,289307,386168,MMSD
2021-05-10,34538,289531,386168,MMSD
2021-05-11,34547,289735,386168,MMSD
2021-05-12,34568,290083,386168,MMSD
2021-05-13,34586,290428,386168,MMSD
2021-05-14,34614,290870,386168,MMSD
2021-05-15,34654,291302,386168,MMSD
2021-05-16,34662,291640,386168,MMSD
2021-05-17,34664,291793,386168,MMSD
2021-05-18,34685,292037,386168,MMSD
2021-05-19,34704,292394,386168,MMSD
2021-05-20,34737,292778,386168,MMSD
2021-05-21,34757,293067,386168,MMSD
2021-05-22,34778,293454,386168,MMSD
2021-05-23,34792,293738,386168,MMSD
2021-05-24,34802,293948,386168,MMSD
2021-05-25,34809,294104,386168,MMSD
2021-05-26,34825,294396,386168,MMSD
2021-05-27,34837,294690,386168,MMSD
2021-05-28,34846,294894,386168,MMSD
2021-05-29,34856,295091,386168,MMSD
2021-05-30,34865,295282,386168,MMSD
2021-05-31,34869,295416,386168,MMSD
2021-06-01,34870,295524,386168,MMSD
2021-06-02,34877,295625,386168,MMSD
2021-06-03,34882,295640,386168,MMSD
2021-06-04,34892,295858,386168,MMSD
2021-06-05,34896,296081,386168,MMSD
2021-06-06,34901,296295,386168,MMSD
2021-06-07,34907,296471,386168,MMSD
2021-06-08,34916,296584,386168,MMSD
2021-06-09,34923,296777,386168,MMSD
2021-06-10,34927,296996,386168,MMSD
2021-06-11,34933,297127,386168,MMSD
2021-06-12,34946,297314,386168,MMSD
2021-06-13,34949,297512,386168,MMSD
2021-06-14,34954,297620,386168,MMSD
2021-06-15,34957,297636,386168,MMSD
2021-06-16,34957,297644,386168,MMSD
2021-06-17,34971,298050,386168,MMSD
2021-06-18,34984,298177,386168,MMSD
2021-06-19,34987,298331,386168,MMSD
2021-06-20,34995,298584,386168,MMSD
2021-06-21,34996,298687,386168,MMSD
2021-06-22,34999,298881,386168,MMSD
2021-06-23,35003,299101,386168,MMSD
2020-04-11,23,1115,111967,2
2020-04-12,23,1138,111967,2
2020-04-13,23,1161,111967,2
2020-04-14,28,1185,111967,2
2020-04-15,28,1202,111967,2
2020-04-16,28,1230,111967,2
2020-04-17,29,1257,111967,2
2020-04-18,29,1293,111967,2
2020-04-19,29,1336,111967,2
2020-04-20,30,1371,111967,2
2020-04-21,51,1417,111967,2
2020-04-22,54,1464,111967,2
2020-04-23,54,1538,111967,2
2020-04-24,54,1605,111967,2
2020-04-25,54,1664,111967,2
2020-04-26,54,1815,111967,2
2020-04-27,55,1909,111967,2
2020-04-28,60,2237,111967,2
2020-04-29,61,2599,111967,2
2020-04-30,61,2652,111967,2
2020-05-01,61,2730,111967,2
2020-05-02,62,2787,111967,2
2020-05-03,62,2837,111967,2
2020-05-04,69,2903,111967,2
2020-05-05,70,2959,111967,2
2020-05-06,70,3032,111967,2
2020-05-07,70,3136,111967,2
2020-05-08,70,3196,111967,2
2020-05-09,71,3283,111967,2
2020-05-10,71,3338,111967,2
2020-05-11,81,3399,111967,2
2020-05-12,81,3471,111967,2
2020-05-13,81,3528,111967,2
2020-05-14,86,3609,111967,2
2020-05-15,87,3913,111967,2
2020-05-16,88,4043,111967,2
2020-05-17,91,4180,111967,2
2020-05-18,91,4250,111967,2
2020-05-19,91,4319,111967,2
2020-05-20,99,4461,111967,2
2020-05-21,101,4776,111967,2
2020-05-22,101,5090,111967,2
2020-05-23,110,5451,111967,2
2020-05-24,110,5546,111967,2
2020-05-25,111,5688,111967,2
2020-05-26,113,5915,111967,2
2020-05-27,120,6077,111967,2
2020-05-28,122,6280,111967,2
2020-05-29,132,6576,111967,2
2020-05-30,138,6733,111967,2
2020-05-31,146,6910,111967,2
2020-06-01,146,6939,111967,2
2020-06-02,149,7095,111967,2
2020-06-03,158,7373,111967,2
2020-06-04,162,7835,111967,2
2020-06-05,168,8187,111967,2
2020-06-06,174,8400,111967,2
2020-06-07,179,8494,111967,2
2020-06-08,184,8817,111967,2
2020-06-09,186,9208,111967,2
2020-06-10,192,9639,111967,2
2020-06-11,195,9775,111967,2
2020-06-12,203,10265,111967,2
2020-06-13,203,10603,111967,2
2020-06-14,206,10735,111967,2
2020-06-15,208,10841,111967,2
2020-06-16,212,11402,111967,2
2020-06-17,219,11630,111967,2
2020-06-18,225,11940,111967,2
2020-06-19,231,12324,111967,2
2020-06-20,239,12560,111967,2
2020-06-21,240,12604,111967,2
2020-06-22,251,12771,111967,2
2020-06-23,271,13165,111967,2
2020-06-24,313,13497,111967,2
2020-06-25,354,13895,111967,2
2020-06-26,417,14359,111967,2
2020-06-27,461,14632,111967,2
2020-06-28,508,14680,111967,2
2020-06-29,559,14753,111967,2
2020-06-30,634,15191,111967,2
2020-07-01,684,15535,111967,2
2020-07-02,731,16556,111967,2
2020-07-03,788,17197,111967,2
2020-07-04,856,17491,111967,2
2020-07-05,884,17522,111967,2
2020-07-06,918,17659,111967,2
2020-07-07,941,18326,111967,2
2020-07-08,965,18895,111967,2
2020-07-09,994,19702,111967,2
2020-07-10,1050,20468,111967,2
2020-07-11,1099,20739,111967,2
2020-07-12,1118,20850,111967,2
2020-07-13,1138,20943,111967,2
2020-07-14,1168,21595,111967,2
2020-07-15,1201,22091,111967,2
2020-07-16,1222,22613,111967,2
2020-07-17,1252,23196,111967,2
2020-07-18,1268,23414,111967,2
2020-07-19,1279,23612,111967,2
2020-07-20,1291,23739,111967,2
2020-07-21,1301,24159,111967,2
2020-07-22,1315,24586,111967,2
2020-07-23,1322,25021,111967,2
2020-07-24,1340,25748,111967,2
2020-07-25,1361,26244,111967,2
2020-07-26,1368,26528,111967,2
2020-07-27,1384,26675,111967,2
2020-07-28,1393,27279,111967,2
2020-07-29,1407,27826,111967,2
2020-07-30,1416,28498,111967,2
2020-07-31,1430,28847,111967,2
2020-08-01,1434,29286,111967,2
2020-08-02,1455,29616,111967,2
2020-08-03,1461,29799,111967,2
2020-08-04,1471,30351,111967,2
2020-08-05,1486,31033,111967,2
2020-08-06,1504,31552,111967,2
2020-08-07,1528,31900,111967,2
2020-08-08,1546,32184,111967,2
2020-08-09,1557,32427,111967,2
2020-08-10,1557,32817,111967,2
2020-08-11,1566,33255,111967,2
2020-08-12,1573,33613,111967,2
2020-08-13,1582,34033,111967,2
2020-08-14,1604,34203,111967,2
2020-08-15,1613,34475,111967,2
2020-08-16,1624,34532,111967,2
2020-08-17,1629,34754,111967,2
2020-08-18,1635,35107,111967,2
2020-08-19,1640,35551,111967,2
2020-08-20,1650,35876,111967,2
2020-08-21,1662,36173,111967,2
2020-08-22,1670,36347,111967,2
2020-08-23,1680,36615,111967,2
2020-08-24,1685,36816,111967,2
2020-08-25,1699,37206,111967,2
2020-08-26,1719,37508,111967,2
2020-08-27,1748,38056,111967,2
2020-08-28,1766,38370,111967,2
2020-08-29,1782,38802,111967,2
2020-08-30,1803,39104,111967,2
2020-08-31,1809,39463,111967,2
2020-09-01,1857,39907,111967,2
2020-09-02,1893,40240,111967,2
2020-09-03,1932,40599,111967,2
2020-09-04,2035,40895,111967,2
2020-09-05,2164,41258,111967,2
2020-09-06,2275,41813,111967,2
2020-09-07,2337,42241,111967,2
2020-09-08,2502,42454,111967,2
2020-09-09,2577,42923,111967,2
2020-09-10,2918,43610,111967,2
2020-09-11,3140,43966,111967,2
2020-09-12,3266,44261,111967,2
2020-09-13,3403,44737,111967,2
2020-09-14,3559,45057,111967,2
2020-09-15,3628,45423,111967,2
2020-09-16,3683,45800,111967,2
2020-09-17,3844,47393,111967,2
2020-09-18,3957,48463,111967,2
2020-09-19,4049,49560,111967,2
2020-09-20,4140,50193,111967,2
2020-09-21,4187,50580,111967,2
2020-09-22,4211,51553,111967,2
2020-09-23,4239,51929,111967,2
2020-09-24,4301,52303,111967,2
2020-09-25,4347,52727,111967,2
2020-09-26,4400,52982,111967,2
2020-09-27,4426,53131,111967,2
2020-09-28,4473,53353,111967,2
2020-09-29,4498,53587,111967,2
2020-09-30,4523,53892,111967,2
2020-10-01,4563,54375,111967,2
2020-10-02,4580,54698,111967,2
2020-10-03,4608,54862,111967,2
2020-10-04,4633,54906,111967,2
2020-10-05,4641,55008,111967,2
2020-10-06,4665,55383,111967,2
2020-10-07,4680,55775,111967,2
