"Date","Site","EpisodeCase","SpecCollectedCase","FirstConfirmed"
2020-11-20,"MMSD-P11",65,66,50
2020-11-20,"MMSD-P18",70,69,63
2020-11-20,"MMSD-P2",76,89,60
2020-11-20,"MMSD-P7",22,20,32
2020-11-20,"MMSD-P8",23,27,23
2020-11-21,"MMSD-P11",47,57,33
2020-11-21,"MMSD-P18",52,60,43
2020-11-21,"MMSD-P2",22,28,32
2020-11-21,"MMSD-P7",17,15,13
2020-11-21,"MMSD-P8",23,23,21
2020-11-22,"MMSD-P11",44,22,13
2020-11-22,"MMSD-P18",32,28,15
2020-11-22,"MMSD-P2",23,10,60
2020-11-22,"MMSD-P7",6,5,2
2020-11-22,"MMSD-P8",11,9,9
2020-11-23,"MMSD-P11",48,40,152
2020-11-23,"MMSD-P18",52,58,189
2020-11-23,"MMSD-P2",35,43,81
2020-11-23,"MMSD-P7",17,12,52
2020-11-23,"MMSD-P8",31,36,67
2020-11-24,"MMSD-P11",64,72,45
2020-11-24,"MMSD-P18",63,78,52
2020-11-24,"MMSD-P2",29,40,48
2020-11-24,"MMSD-P7",17,19,11
2020-11-24,"MMSD-P8",34,34,25
2020-11-25,"MMSD-P11",71,63,65
2020-11-25,"MMSD-P18",56,63,83
2020-11-25,"MMSD-P2",18,28,41
2020-11-25,"MMSD-P7",21,20,18
2020-11-25,"MMSD-P8",38,29,39
2020-11-26,"MMSD-P11",35,18,5
2020-11-26,"MMSD-P18",30,11,17
2020-11-26,"MMSD-P2",16,5,4
2020-11-26,"MMSD-P7",13,5,NA
2020-11-26,"MMSD-P8",11,4,9
2020-11-27,"MMSD-P11",77,89,94
2020-11-27,"MMSD-P18",57,63,79
2020-11-27,"MMSD-P2",22,19,28
2020-11-27,"MMSD-P7",25,35,34
2020-11-27,"MMSD-P8",29,37,35
2020-11-28,"MMSD-P11",46,44,86
2020-11-28,"MMSD-P18",62,44,68
2020-11-28,"MMSD-P2",39,27,26
2020-11-28,"MMSD-P7",21,18,31
2020-11-28,"MMSD-P8",19,26,32
2020-11-29,"MMSD-P11",42,25,54
2020-11-29,"MMSD-P18",45,16,43
2020-11-29,"MMSD-P2",17,6,16
2020-11-29,"MMSD-P7",19,7,19
2020-11-29,"MMSD-P8",15,6,29
2020-11-30,"MMSD-P11",56,63,30
2020-11-30,"MMSD-P18",54,59,18
2020-11-30,"MMSD-P2",36,40,14
2020-11-30,"MMSD-P7",8,11,8
2020-11-30,"MMSD-P8",26,27,12
2020-12-01,"MMSD-P11",47,93,51
2020-12-01,"MMSD-P18",70,87,46
2020-12-01,"MMSD-P2",39,44,34
2020-12-01,"MMSD-P7",34,34,10
2020-12-01,"MMSD-P8",22,31,20
2020-12-02,"MMSD-P11",47,52,74
2020-12-02,"MMSD-P18",50,69,83
2020-12-02,"MMSD-P2",27,40,44
2020-12-02,"MMSD-P7",24,39,28
2020-12-02,"MMSD-P8",31,37,27
2020-12-03,"MMSD-P11",38,38,56
2020-12-03,"MMSD-P18",49,68,63
2020-12-03,"MMSD-P2",38,41,40
2020-12-03,"MMSD-P7",11,15,36
2020-12-03,"MMSD-P8",16,18,34
2020-12-04,"MMSD-P11",35,34,40
2020-12-04,"MMSD-P18",41,53,59
2020-12-04,"MMSD-P2",28,34,36
2020-12-04,"MMSD-P7",15,17,14
2020-12-04,"MMSD-P8",14,15,15
2020-12-05,"MMSD-P11",32,37,24
2020-12-05,"MMSD-P18",29,29,29
2020-12-05,"MMSD-P2",24,23,29
2020-12-05,"MMSD-P7",12,12,7
2020-12-05,"MMSD-P8",11,10,10
2020-12-06,"MMSD-P11",22,4,48
2020-12-06,"MMSD-P18",19,11,62
2020-12-06,"MMSD-P2",12,4,31
2020-12-06,"MMSD-P7",10,5,21
2020-12-06,"MMSD-P8",3,2,21
2020-12-07,"MMSD-P11",39,41,25
2020-12-07,"MMSD-P18",36,40,33
2020-12-07,"MMSD-P2",22,28,13
2020-12-07,"MMSD-P7",11,16,15
2020-12-07,"MMSD-P8",19,15,9
2020-12-08,"MMSD-P11",61,77,27
2020-12-08,"MMSD-P18",34,57,27
2020-12-08,"MMSD-P2",26,27,24
2020-12-08,"MMSD-P7",15,24,14
2020-12-08,"MMSD-P8",17,19,18
2020-12-09,"MMSD-P11",40,35,61
2020-12-09,"MMSD-P18",42,38,48
2020-12-09,"MMSD-P2",23,26,29
2020-12-09,"MMSD-P7",15,15,21
2020-12-09,"MMSD-P8",18,23,15
2020-12-10,"MMSD-P11",35,38,38
2020-12-10,"MMSD-P18",26,33,40
2020-12-10,"MMSD-P2",36,45,26
2020-12-10,"MMSD-P7",8,7,18
2020-12-10,"MMSD-P8",19,17,14
2020-12-11,"MMSD-P11",38,42,60
2020-12-11,"MMSD-P18",32,35,40
2020-12-11,"MMSD-P2",14,15,35
2020-12-11,"MMSD-P7",9,10,7
2020-12-11,"MMSD-P8",8,15,19
2020-12-12,"MMSD-P11",26,23,49
2020-12-12,"MMSD-P18",18,24,29
2020-12-12,"MMSD-P2",13,5,27
2020-12-12,"MMSD-P7",9,7,12
2020-12-12,"MMSD-P8",11,7,20
2020-12-13,"MMSD-P11",27,14,38
2020-12-13,"MMSD-P18",12,4,38
2020-12-13,"MMSD-P2",7,3,10
2020-12-13,"MMSD-P7",7,3,10
2020-12-13,"MMSD-P8",7,2,16
2020-12-14,"MMSD-P11",43,45,12
2020-12-14,"MMSD-P18",42,28,11
2020-12-14,"MMSD-P2",18,19,1
2020-12-14,"MMSD-P7",8,10,3
2020-12-14,"MMSD-P8",14,20,5
2020-12-15,"MMSD-P11",41,49,23
2020-12-15,"MMSD-P18",33,32,13
2020-12-15,"MMSD-P2",20,30,18
2020-12-15,"MMSD-P7",9,13,6
2020-12-15,"MMSD-P8",15,15,12
2020-12-16,"MMSD-P11",29,38,73
2020-12-16,"MMSD-P18",26,33,32
2020-12-16,"MMSD-P2",23,20,29
2020-12-16,"MMSD-P7",13,13,14
2020-12-16,"MMSD-P8",8,13,15
2020-12-17,"MMSD-P11",26,33,45
2020-12-17,"MMSD-P18",32,39,31
2020-12-17,"MMSD-P2",11,22,23
2020-12-17,"MMSD-P7",11,13,12
2020-12-17,"MMSD-P8",8,12,16
2020-12-18,"MMSD-P11",28,21,35
2020-12-18,"MMSD-P18",29,24,40
2020-12-18,"MMSD-P2",16,17,22
2020-12-18,"MMSD-P7",9,5,12
2020-12-18,"MMSD-P8",17,16,18
2020-12-19,"MMSD-P11",13,17,19
2020-12-19,"MMSD-P18",29,22,23
2020-12-19,"MMSD-P2",16,13,19
2020-12-19,"MMSD-P7",10,7,9
2020-12-19,"MMSD-P8",13,14,7
2020-12-20,"MMSD-P11",29,22,22
2020-12-20,"MMSD-P18",21,12,21
2020-12-20,"MMSD-P2",8,5,13
2020-12-20,"MMSD-P7",7,5,6
2020-12-20,"MMSD-P8",5,2,17
2020-12-21,"MMSD-P11",25,26,16
2020-12-21,"MMSD-P18",33,31,23
2020-12-21,"MMSD-P2",14,21,3
2020-12-21,"MMSD-P7",14,10,2
2020-12-21,"MMSD-P8",9,7,1
2020-12-22,"MMSD-P11",19,35,27
2020-12-22,"MMSD-P18",32,49,33
2020-12-22,"MMSD-P2",30,31,23
2020-12-22,"MMSD-P7",13,22,11
2020-12-22,"MMSD-P8",16,18,10
2020-12-23,"MMSD-P11",28,23,40
2020-12-23,"MMSD-P18",37,34,32
2020-12-23,"MMSD-P2",14,13,29
2020-12-23,"MMSD-P7",10,14,23
2020-12-23,"MMSD-P8",15,12,9
2020-12-24,"MMSD-P11",26,21,26
2020-12-24,"MMSD-P18",25,31,35
2020-12-24,"MMSD-P2",16,17,16
2020-12-24,"MMSD-P7",4,8,16
2020-12-24,"MMSD-P8",11,10,14
2020-12-25,"MMSD-P11",15,3,NA
2020-12-25,"MMSD-P18",12,1,NA
2020-12-25,"MMSD-P2",6,1,NA
2020-12-25,"MMSD-P7",4,NA,NA
2020-12-25,"MMSD-P8",6,1,NA
2020-12-26,"MMSD-P11",20,25,28
2020-12-26,"MMSD-P18",37,36,50
2020-12-26,"MMSD-P2",16,17,21
2020-12-26,"MMSD-P7",9,9,8
2020-12-26,"MMSD-P8",20,15,12
2020-12-27,"MMSD-P11",25,6,21
2020-12-27,"MMSD-P18",29,6,28
2020-12-27,"MMSD-P2",21,12,17
2020-12-27,"MMSD-P7",12,1,8
2020-12-27,"MMSD-P8",9,3,15
2020-12-28,"MMSD-P11",34,21,11
2020-12-28,"MMSD-P18",40,33,18
2020-12-28,"MMSD-P2",26,22,12
2020-12-28,"MMSD-P7",19,14,4
2020-12-28,"MMSD-P8",18,15,6
2020-12-29,"MMSD-P11",30,56,16
2020-12-29,"MMSD-P18",30,53,29
2020-12-29,"MMSD-P2",23,28,15
2020-12-29,"MMSD-P7",14,19,11
2020-12-29,"MMSD-P8",19,20,8
2020-12-30,"MMSD-P11",55,53,48
2020-12-30,"MMSD-P18",52,50,50
2020-12-30,"MMSD-P2",29,37,28
2020-12-30,"MMSD-P7",27,23,20
2020-12-30,"MMSD-P8",18,31,21
2020-12-31,"MMSD-P11",32,31,33
2020-12-31,"MMSD-P18",49,61,48
2020-12-31,"MMSD-P2",23,16,37
2020-12-31,"MMSD-P7",17,21,19
2020-12-31,"MMSD-P8",15,19,25
2021-01-01,"MMSD-P11",23,4,NA
2021-01-01,"MMSD-P18",18,8,NA
2021-01-01,"MMSD-P2",20,7,NA
2021-01-01,"MMSD-P7",7,3,NA
2021-01-01,"MMSD-P8",15,4,NA
2021-01-02,"MMSD-P11",49,65,42
2021-01-02,"MMSD-P18",43,46,62
2021-01-02,"MMSD-P2",48,39,19
2021-01-02,"MMSD-P7",21,29,29
2021-01-02,"MMSD-P8",20,23,29
2021-01-03,"MMSD-P11",26,7,46
2021-01-03,"MMSD-P18",24,6,48
2021-01-03,"MMSD-P2",31,5,24
2021-01-03,"MMSD-P7",6,2,18
2021-01-03,"MMSD-P8",17,4,14
2021-01-04,"MMSD-P11",56,51,39
2021-01-04,"MMSD-P18",50,39,21
2021-01-04,"MMSD-P2",28,48,26
2021-01-04,"MMSD-P7",16,19,9
2021-01-04,"MMSD-P8",29,29,15
2021-01-05,"MMSD-P11",60,83,33
2021-01-05,"MMSD-P18",52,60,22
2021-01-05,"MMSD-P2",45,60,44
2021-01-05,"MMSD-P7",15,24,18
2021-01-05,"MMSD-P8",25,31,24
2021-01-06,"MMSD-P11",28,36,86
2021-01-06,"MMSD-P18",37,61,53
2021-01-06,"MMSD-P2",33,45,62
2021-01-06,"MMSD-P7",21,16,23
2021-01-06,"MMSD-P8",13,17,32
2021-01-07,"MMSD-P11",41,36,49
2021-01-07,"MMSD-P18",46,49,72
2021-01-07,"MMSD-P2",23,18,41
2021-01-07,"MMSD-P7",12,14,21
2021-01-07,"MMSD-P8",18,24,22
2021-01-08,"MMSD-P11",27,30,36
2021-01-08,"MMSD-P18",38,37,40
2021-01-08,"MMSD-P2",32,22,19
2021-01-08,"MMSD-P7",8,11,8
2021-01-08,"MMSD-P8",14,11,13
2021-01-09,"MMSD-P11",31,44,35
2021-01-09,"MMSD-P18",29,36,46
2021-01-09,"MMSD-P2",19,19,24
2021-01-09,"MMSD-P7",7,6,13
2021-01-09,"MMSD-P8",19,20,18
2021-01-10,"MMSD-P11",29,8,30
2021-01-10,"MMSD-P18",38,19,29
2021-01-10,"MMSD-P2",19,14,16
2021-01-10,"MMSD-P7",10,7,7
2021-01-10,"MMSD-P8",4,1,16
2021-01-11,"MMSD-P11",37,33,15
2021-01-11,"MMSD-P18",37,34,22
2021-01-11,"MMSD-P2",20,20,11
2021-01-11,"MMSD-P7",13,12,6
2021-01-11,"MMSD-P8",7,12,12
2021-01-12,"MMSD-P11",30,50,31
2021-01-12,"MMSD-P18",43,56,31
2021-01-12,"MMSD-P2",23,38,29
2021-01-12,"MMSD-P7",18,23,7
2021-01-12,"MMSD-P8",11,16,12
2021-01-13,"MMSD-P11",27,29,52
2021-01-13,"MMSD-P18",27,36,48
2021-01-13,"MMSD-P2",25,26,38
2021-01-13,"MMSD-P7",12,11,24
2021-01-13,"MMSD-P8",9,12,7
2021-01-14,"MMSD-P11",24,32,32
2021-01-14,"MMSD-P18",30,33,50
2021-01-14,"MMSD-P2",11,15,24
2021-01-14,"MMSD-P7",8,8,15
2021-01-14,"MMSD-P8",5,6,12
2021-01-15,"MMSD-P11",21,19,34
2021-01-15,"MMSD-P18",25,30,37
2021-01-15,"MMSD-P2",18,19,21
2021-01-15,"MMSD-P7",6,15,10
2021-01-15,"MMSD-P8",14,12,11
2021-01-16,"MMSD-P11",28,17,28
2021-01-16,"MMSD-P18",19,19,31
2021-01-16,"MMSD-P2",20,24,17
2021-01-16,"MMSD-P7",9,7,8
2021-01-16,"MMSD-P8",14,15,9
2021-01-17,"MMSD-P11",18,15,10
2021-01-17,"MMSD-P18",12,7,17
2021-01-17,"MMSD-P2",14,5,15
2021-01-17,"MMSD-P7",8,3,10
2021-01-17,"MMSD-P8",9,7,10
2021-01-18,"MMSD-P11",22,27,6
2021-01-18,"MMSD-P18",26,18,9
2021-01-18,"MMSD-P2",18,9,12
2021-01-18,"MMSD-P7",7,6,2
2021-01-18,"MMSD-P8",6,2,9
2021-01-19,"MMSD-P11",31,40,16
2021-01-19,"MMSD-P18",27,36,10
2021-01-19,"MMSD-P2",31,34,13
2021-01-19,"MMSD-P7",11,11,4
2021-01-19,"MMSD-P8",10,16,7
2021-01-20,"MMSD-P11",30,28,44
2021-01-20,"MMSD-P18",26,24,34
2021-01-20,"MMSD-P2",24,30,26
2021-01-20,"MMSD-P7",9,8,10
2021-01-20,"MMSD-P8",13,14,11
2021-01-21,"MMSD-P11",24,33,46
2021-01-21,"MMSD-P18",17,25,34
2021-01-21,"MMSD-P2",18,20,26
2021-01-21,"MMSD-P7",5,9,15
2021-01-21,"MMSD-P8",8,14,18
2021-01-22,"MMSD-P11",27,28,33
2021-01-22,"MMSD-P18",20,30,31
2021-01-22,"MMSD-P2",19,19,20
2021-01-22,"MMSD-P7",5,10,9
2021-01-22,"MMSD-P8",14,11,9
2021-01-23,"MMSD-P11",21,21,23
2021-01-23,"MMSD-P18",18,23,18
2021-01-23,"MMSD-P2",20,22,25
2021-01-23,"MMSD-P7",7,7,7
2021-01-23,"MMSD-P8",11,9,13
2021-01-24,"MMSD-P11",17,10,17
2021-01-24,"MMSD-P18",6,5,21
2021-01-24,"MMSD-P2",20,15,18
2021-01-24,"MMSD-P7",6,NA,6
2021-01-24,"MMSD-P8",8,6,7
2021-01-25,"MMSD-P11",25,19,8
2021-01-25,"MMSD-P18",23,18,17
2021-01-25,"MMSD-P2",28,33,13
2021-01-25,"MMSD-P7",15,9,5
2021-01-25,"MMSD-P8",14,13,4
2021-01-26,"MMSD-P11",25,41,13
2021-01-26,"MMSD-P18",18,17,10
2021-01-26,"MMSD-P2",34,38,22
2021-01-26,"MMSD-P7",13,14,3
2021-01-26,"MMSD-P8",10,15,7
2021-01-27,"MMSD-P11",20,26,56
2021-01-27,"MMSD-P18",13,14,18
2021-01-27,"MMSD-P2",32,30,48
2021-01-27,"MMSD-P7",8,11,15
2021-01-27,"MMSD-P8",13,14,24
2021-01-28,"MMSD-P11",20,22,19
2021-01-28,"MMSD-P18",15,16,17
2021-01-28,"MMSD-P2",21,23,37
2021-01-28,"MMSD-P7",14,14,14
2021-01-28,"MMSD-P8",13,12,10
2021-01-29,"MMSD-P11",9,13,19
2021-01-29,"MMSD-P18",8,11,20
2021-01-29,"MMSD-P2",26,27,25
2021-01-29,"MMSD-P7",6,10,15
2021-01-29,"MMSD-P8",18,22,25
2021-01-30,"MMSD-P11",9,8,21
2021-01-30,"MMSD-P18",8,14,10
2021-01-30,"MMSD-P2",21,21,27
2021-01-30,"MMSD-P7",7,8,7
2021-01-30,"MMSD-P8",8,9,17
2021-01-31,"MMSD-P11",2,1,9
2021-01-31,"MMSD-P18",4,2,12
2021-01-31,"MMSD-P2",26,6,14
2021-01-31,"MMSD-P7",3,1,9
2021-01-31,"MMSD-P8",4,1,8
2021-02-01,"MMSD-P11",11,10,4
2021-02-01,"MMSD-P18",14,10,5
2021-02-01,"MMSD-P2",59,50,23
2021-02-01,"MMSD-P7",6,7,4
2021-02-01,"MMSD-P8",12,15,4
2021-02-02,"MMSD-P11",24,21,5
2021-02-02,"MMSD-P18",12,20,6
2021-02-02,"MMSD-P2",53,68,33
2021-02-02,"MMSD-P7",7,11,6
2021-02-02,"MMSD-P8",8,14,13
2021-02-03,"MMSD-P11",18,15,23
2021-02-03,"MMSD-P18",15,19,20
2021-02-03,"MMSD-P2",41,48,88
2021-02-03,"MMSD-P7",6,10,10
2021-02-03,"MMSD-P8",9,6,14
2021-02-04,"MMSD-P11",5,16,17
2021-02-04,"MMSD-P18",6,6,13
2021-02-04,"MMSD-P2",31,34,44
2021-02-04,"MMSD-P7",6,4,10
2021-02-04,"MMSD-P8",14,8,7
2021-02-05,"MMSD-P11",10,18,11
2021-02-05,"MMSD-P18",17,18,17
2021-02-05,"MMSD-P2",29,42,34
2021-02-05,"MMSD-P7",9,9,7
2021-02-05,"MMSD-P8",8,10,5
2021-02-06,"MMSD-P11",12,8,11
2021-02-06,"MMSD-P18",11,14,11
2021-02-06,"MMSD-P2",25,25,33
2021-02-06,"MMSD-P7",3,3,4
2021-02-06,"MMSD-P8",6,4,4
2021-02-07,"MMSD-P11",4,1,16
2021-02-07,"MMSD-P18",6,1,14
2021-02-07,"MMSD-P2",33,18,32
2021-02-07,"MMSD-P7",7,4,4
2021-02-07,"MMSD-P8",4,2,13
2021-02-08,"MMSD-P11",6,11,7
2021-02-08,"MMSD-P18",16,6,6
2021-02-08,"MMSD-P2",27,38,10
2021-02-08,"MMSD-P7",4,4,5
2021-02-08,"MMSD-P8",6,6,2
2021-02-09,"MMSD-P11",9,12,6
2021-02-09,"MMSD-P18",13,16,6
2021-02-09,"MMSD-P2",48,45,46
2021-02-09,"MMSD-P7",10,7,3
2021-02-09,"MMSD-P8",12,13,3
2021-02-10,"MMSD-P11",7,10,13
2021-02-10,"MMSD-P18",9,14,17
2021-02-10,"MMSD-P2",26,27,47
2021-02-10,"MMSD-P7",4,2,8
2021-02-10,"MMSD-P8",5,7,14
2021-02-11,"MMSD-P11",6,9,13
2021-02-11,"MMSD-P18",14,20,14
2021-02-11,"MMSD-P2",24,26,28
2021-02-11,"MMSD-P7",5,6,5
2021-02-11,"MMSD-P8",3,4,10
2021-02-12,"MMSD-P11",1,2,11
2021-02-12,"MMSD-P18",7,6,19
2021-02-12,"MMSD-P2",26,17,24
2021-02-12,"MMSD-P7",6,8,6
2021-02-12,"MMSD-P8",9,7,4
2021-02-13,"MMSD-P11",8,3,4
2021-02-13,"MMSD-P18",9,10,6
2021-02-13,"MMSD-P2",30,23,18
2021-02-13,"MMSD-P7",4,2,8
2021-02-13,"MMSD-P8",4,5,7
2021-02-14,"MMSD-P11",6,3,3
2021-02-14,"MMSD-P18",5,4,11
2021-02-14,"MMSD-P2",40,12,15
2021-02-14,"MMSD-P7",4,3,4
2021-02-14,"MMSD-P8",6,NA,4
2021-02-15,"MMSD-P11",10,9,7
2021-02-15,"MMSD-P18",9,5,5
2021-02-15,"MMSD-P2",60,55,22
2021-02-15,"MMSD-P7",2,NA,2
2021-02-15,"MMSD-P8",13,11,2
2021-02-16,"MMSD-P11",7,7,5
2021-02-16,"MMSD-P18",7,15,5
2021-02-16,"MMSD-P2",87,87,47
2021-02-16,"MMSD-P7",4,7,2
2021-02-16,"MMSD-P8",7,14,11
2021-02-17,"MMSD-P11",10,9,6
2021-02-17,"MMSD-P18",12,8,13
2021-02-17,"MMSD-P2",50,87,96
2021-02-17,"MMSD-P7",3,4,4
2021-02-17,"MMSD-P8",7,7,14
2021-02-18,"MMSD-P11",11,15,11
2021-02-18,"MMSD-P18",10,10,11
2021-02-18,"MMSD-P2",35,41,85
2021-02-18,"MMSD-P7",8,13,10
2021-02-18,"MMSD-P8",6,5,7
2021-02-19,"MMSD-P11",5,8,12
2021-02-19,"MMSD-P18",4,10,15
2021-02-19,"MMSD-P2",33,39,40
2021-02-19,"MMSD-P7",5,5,10
2021-02-19,"MMSD-P8",12,10,6
2021-02-20,"MMSD-P11",5,2,7
2021-02-20,"MMSD-P18",3,4,6
2021-02-20,"MMSD-P2",22,24,39
2021-02-20,"MMSD-P7",1,3,2
2021-02-20,"MMSD-P8",8,13,10
2021-02-21,"MMSD-P11",6,2,2
2021-02-21,"MMSD-P18",2,1,4
2021-02-21,"MMSD-P2",21,18,23
2021-02-21,"MMSD-P7",2,NA,4
2021-02-21,"MMSD-P8",3,NA,12
2021-02-22,"MMSD-P11",10,13,4
2021-02-22,"MMSD-P18",11,8,3
2021-02-22,"MMSD-P2",31,41,16
2021-02-22,"MMSD-P7",2,NA,1
2021-02-22,"MMSD-P8",9,13,NA
2021-02-23,"MMSD-P11",10,12,9
2021-02-23,"MMSD-P18",17,11,8
2021-02-23,"MMSD-P2",15,18,41
2021-02-23,"MMSD-P7",2,5,1
2021-02-23,"MMSD-P8",3,3,14
2021-02-24,"MMSD-P11",10,5,11
2021-02-24,"MMSD-P18",7,5,13
2021-02-24,"MMSD-P2",28,13,18
2021-02-24,"MMSD-P7",5,4,3
2021-02-24,"MMSD-P8",6,2,2
2021-02-25,"MMSD-P11",11,15,11
2021-02-25,"MMSD-P18",14,15,5
2021-02-25,"MMSD-P2",24,30,23
2021-02-25,"MMSD-P7",2,2,4
2021-02-25,"MMSD-P8",5,6,4
2021-02-26,"MMSD-P11",8,6,15
2021-02-26,"MMSD-P18",6,8,16
2021-02-26,"MMSD-P2",11,18,26
2021-02-26,"MMSD-P7",1,1,4
2021-02-26,"MMSD-P8",7,6,3
2021-02-27,"MMSD-P11",4,9,6
2021-02-27,"MMSD-P18",7,6,6
2021-02-27,"MMSD-P2",9,12,18
2021-02-27,"MMSD-P7",4,5,NA
2021-02-27,"MMSD-P8",6,6,5
2021-02-28,"MMSD-P11",9,3,8
2021-02-28,"MMSD-P18",7,9,7
2021-02-28,"MMSD-P2",12,7,12
2021-02-28,"MMSD-P7",1,1,4
2021-02-28,"MMSD-P8",4,2,7
2021-03-01,"MMSD-P11",14,5,4
2021-03-01,"MMSD-P18",9,8,6
2021-03-01,"MMSD-P2",36,32,9
2021-03-01,"MMSD-P7",6,4,3
2021-03-01,"MMSD-P8",4,9,2
2021-03-02,"MMSD-P11",16,17,3
2021-03-02,"MMSD-P18",15,13,6
2021-03-02,"MMSD-P2",36,37,28
2021-03-02,"MMSD-P7",6,7,2
2021-03-02,"MMSD-P8",5,8,10
2021-03-03,"MMSD-P11",9,17,19
2021-03-03,"MMSD-P18",6,8,15
2021-03-03,"MMSD-P2",11,17,37
2021-03-03,"MMSD-P8",3,4,10
2021-03-04,"MMSD-P11",8,17,15
2021-03-04,"MMSD-P18",11,8,7
2021-03-04,"MMSD-P2",11,9,7
2021-03-04,"MMSD-P7",3,2,3
2021-03-04,"MMSD-P8",6,3,5
2021-03-05,"MMSD-P11",12,10,16
2021-03-05,"MMSD-P18",10,9,12
2021-03-05,"MMSD-P2",5,13,22
2021-03-05,"MMSD-P8",5,3,4
2021-03-06,"MMSD-P11",7,8,11
2021-03-06,"MMSD-P18",9,10,9
2021-03-06,"MMSD-P2",7,3,12
2021-03-06,"MMSD-P7",3,2,3
2021-03-06,"MMSD-P8",6,4,2
2021-03-07,"MMSD-P18",9,2,7
2021-03-07,"MMSD-P2",13,8,4
2021-03-07,"MMSD-P7",2,2,1
2021-03-07,"MMSD-P8",2,3,3
2021-03-08,"MMSD-P11",5,2,2
2021-03-08,"MMSD-P18",16,13,10
2021-03-08,"MMSD-P2",21,16,NA
2021-03-08,"MMSD-P7",4,2,NA
2021-03-08,"MMSD-P8",7,3,2
2021-03-09,"MMSD-P11",8,8,2
2021-03-09,"MMSD-P18",17,15,7
2021-03-09,"MMSD-P2",17,22,22
2021-03-09,"MMSD-P7",4,5,3
2021-03-09,"MMSD-P8",3,4,3
2021-03-10,"MMSD-P11",8,11,8
2021-03-10,"MMSD-P18",9,18,12
2021-03-10,"MMSD-P2",10,11,24
2021-03-10,"MMSD-P7",4,2,7
2021-03-10,"MMSD-P8",2,5,4
